skill_abr,skill_name
ART,Art/Creative
DSGN,Design
PRDM,Product Management
EDU,Education
TRNG,Training
PRJM,Project Management
CNSL,Consulting
HCPR,Health Care Provider
RSCH,Research
CUST,Customer Service
FIN,Finance
OTHR,Other
LGL,Legal
ENG,Engineering
QA,Quality Assurance
BD,Business Development
IT,Information Technology
ADM,Administrative
PROD,Production
MRKT,Marketing
PR,Public Relations
WRT,Writing/Editing
ACCT,Accounting/Auditing
HR,Human Resources
MNFC,Manufacturing
SALE,Sales
MGMT,Management
